Date,Symbol,Series,Prev Close,open,high,low,last,close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,signal,quantity,netWorth,balance
1996-06-17,BLUEDART,EQ,118.0,118.0,120.0,118.0,,118.0,118.59,2500,29648000000.0,,,,sell,395.3988484757735,70052.68443609189,23386.905992336353
1996-06-18,BLUEDART,EQ,118.0,112.1,116.0,112.1,,112.65,113.2,1700,19244000000.0,,,,buy,529.4885975244381,67928.58627313224,8266.590551773954
1996-06-19,BLUEDART,EQ,112.65,115.0,116.0,114.0,,114.0,114.91,1500,17236000000.0,,,,sell,373.933502408332,68628.2906695599,25982.13811416681
1996-06-20,BLUEDART,EQ,114.0,113.1,113.1,113.0,,113.0,113.07,300,3392000000.0,,,,buy,455.6916313752107,68236.62388630833,16734.23087233626
1996-06-21,BLUEDART,EQ,113.0,112.0,112.0,110.0,,110.0,111.1,2100,23330000000.0,,,,sell,137.93122026864046,66860.31032360945,51652.922448837264
1996-06-24,BLUEDART,EQ,110.0,108.0,111.0,108.0,,111.0,109.88,1500,16481500000.0,,,,sell,105.64317019220782,66963.28789865636,55233.312033762806
1996-06-25,BLUEDART,EQ,111.0,105.0,107.5,105.0,,105.0,105.79,1400,14811000000.0,,,,buy,118.78191467775922,66325.84490394463,53852.364294608924
1996-06-26,BLUEDART,EQ,105.0,111.0,111.0,107.25,,107.25,110.28,1400,15439500000.0,,,,buy,390.23913826370864,66591.7246437986,24709.463277786257
1996-06-27,BLUEDART,EQ,107.25,105.25,108.75,105.25,,108.75,107.34,800,8587500000.0,,,,sell,285.78978027597054,67147.96956396458,36056.97209127161
1996-06-28,BLUEDART,EQ,108.75,107.25,110.05,107.25,,110.05,109.12,300,3273500000.0,,,,sell,200.05923098360415,67508.13741064217,45482.1843939469
1996-07-01,BLUEDART,EQ,110.05,107.25,107.5,106.95,,107.5,107.18,400,4287000000.0,,,,sell,168.33607095830902,66988.55172468435,48889.013856963415
1996-07-02,BLUEDART,EQ,107.5,106.05,112.0,106.05,,112.0,108.79,500,5439500000.0,,,,buy,556.3196248647295,67742.65380429402,5391.401661406817
1996-07-03,BLUEDART,EQ,112.0,106.55,108.05,106.05,,108.05,107.26,2200,23596500000.0,,,,sell,436.55607487613406,65501.73712804083,18318.912786098284
1996-07-04,BLUEDART,EQ,108.05,103.05,107.5,101.0,,107.5,105.66,800,8453000000.0,,,,sell,63.070401479048655,65248.690835282694,58428.47296639478
1996-07-05,BLUEDART,EQ,107.5,106.05,106.05,106.05,,106.05,106.05,100,1060500000.0,,,,buy,189.02288119151262,65117.08904324789,45057.85523241447
1996-07-08,BLUEDART,EQ,0.0,106.1,106.1,105.0,,105.0,105.16,700,7361500000.0,,,,sell,71.63588628969119,64905.25775752329,57371.16406264103
1996-07-09,BLUEDART,EQ,105.0,103.0,105.0,103.0,,104.9,103.94,400,4157500000.0,,,,buy,240.14902132097853,64885.76853442963,39676.45916999421
1996-07-10,BLUEDART,EQ,104.9,103.0,104.5,103.0,,103.25,103.47,800,8277500000.0,,,,sell,26.837117934610063,64471.84562138525,61678.888740612114
1996-07-11,BLUEDART,EQ,103.25,103.25,103.25,103.2,,103.2,103.21,400,4128500000.0,,,,buy,260.575823447656,64448.479311463874,37532.93249725683
1996-07-12,BLUEDART,EQ,103.2,101.3,105.05,101.3,,105.05,104.3,500,5215000000.0,,,,buy,479.2829653013156,64906.42275043309,14534.772060278163
1996-07-15,BLUEDART,EQ,105.05,105.0,105.0,103.0,,103.0,104.5,400,4180000000.0,,,,sell,349.74410411727206,63900.917486313665,27863.93225953269
1996-07-16,BLUEDART,EQ,103.0,103.5,106.0,103.5,,106.0,104.75,200,2095000000.0,,,,buy,438.6166447456143,64936.807295963525,18434.02246362181
1996-07-17,BLUEDART,EQ,106.0,103.0,106.0,103.0,,103.5,104.1,1000,10410000000.0,,,,sell,337.9565904572394,63830.84519479289,28841.91976684977
1996-07-18,BLUEDART,EQ,103.5,107.5,107.5,102.8,,102.8,107.45,10100,108528000000.0,,,,buy,557.2051480784894,63583.85726585398,6280.629291661804
1996-07-19,BLUEDART,EQ,102.8,93.25,103.5,93.25,,103.0,101.39,700,7097500000.0,,,,sell,435.25053263395705,63672.759543746215,18829.393357057852
1996-07-22,BLUEDART,EQ,103.0,100.0,100.0,99.0,,99.0,99.5,200,1990000000.0,,,,sell,302.2251064762547,61919.1960878196,31985.74102948077
1996-07-23,BLUEDART,EQ,99.0,97.0,100.0,96.0,,96.0,97.35,1000,9735000000.0,,,,buy,559.3668563703285,60999.351251201224,7275.447431659861
1996-07-24,BLUEDART,EQ,96.0,100.0,100.0,90.0,,99.0,96.53,1300,12549500000.0,,,,sell,359.11340587784406,62652.766212322385,27080.713938817065
1996-07-25,BLUEDART,EQ,99.0,99.95,100.5,95.25,,100.0,99.62,1000,9962000000.0,,,,sell,237.2632799459192,62992.05452660147,39253.54151941636
1996-07-26,BLUEDART,EQ,100.0,95.25,95.25,91.0,,91.0,94.01,700,6580500000.0,,,,buy,498.1819568384999,60844.49999449501,15486.19832259429
