time_step,open_price,close_price,cash,stock_held,net_worth,action,action_type,quantity
71,98.4,96.6,12584.837747889782,928.3383737961489,102268.18409601031,0.8768854918213657,buy,60.603533697272155
72,97.3,92.35,1667.991918420248,1046.4319297201332,98316.88656796413,0.9829236063415286,buy,117.97747898010982
73,93.0,93.65,92506.3022970443,75.48436305443863,99666.34213671072,0.07092776205583617,sell,971.0164338036718
74,93.6,94.1,23185.41595024703,811.4209699841431,99609.38086046698,0.7665413901373979,buy,735.3724810599756
75,94.9,95.55,43780.11991140703,595.666712732019,100716.6896322319,0.5651094630827687,sell,215.8761820245976
76,95.95,96.0,43210.914826235894,601.5900090728776,100964.12433368087,0.5720115065835361,buy,5.919908147194633
77,96.0,96.6,21277.230007125574,828.419957789899,101324.50970267586,0.7897927969977717,buy,226.65080005738128
78,96.9,96.65,66051.01734113909,364.69925484159626,101344.01892751931,0.3478072347382394,sell,463.88198836368593
79,96.5,96.4,22330.955685039335,817.7737908460457,101208.02550786897,0.7789243297847905,buy,452.72162522514986
80,96.5,97.2,17716.828866291286,865.1968083506404,101818.56815527499,0.8259508191416789,buy,47.383848424440316
81,96.4,96.9,24656.336998408377,793.5099705105599,101554.39959546833,0.7571421469553385,sell,71.74111496639102
82,97.0,98.05,95882.17843552149,66.35914362949097,102459.98960696877,0.06350297377376513,sell,727.197003120958
83,98.6,97.0,85896.65411226227,169.1998526447975,102319.01536758212,0.16040406221251924,buy,102.8242129478196
84,97.9,99.0,75693.31396783079,272.1609334269596,102647.43952409722,0.26249005853617735,buy,102.93405452204075
85,98.85,99.0,1324.4504304735165,1022.6111250268475,102637.2463770998,0.9863719551253083,buy,749.7099685771752
86,99.5,98.2,13954.394414937637,893.8678809226199,101744.86290810995,0.8627248924191593,sell,128.8543141056473
87,98.5,98.8,8363.910719512085,950.3951966779733,102268.54105009248,0.9181615819256752,buy,56.47541454569739
88,99.5,99.0,59513.653732029255,433.2139445923809,102453.03519063145,0.41861307900585754,sell,517.3977509219321
89,99.25,99.0,45004.92371357701,579.6203666395484,102401.83424667496,0.5603651215767019,buy,146.32438099467743
90,99.9,105.05,94414.49433049571,108.80618628195413,105894.04322906156,0.1079389314108502,sell,470.8649995371151
91,106.5,107.45,6806.739589172634,923.3267493979733,106105.71904649168,0.9350246161504393,buy,813.7589663391452
92,107.45,104.95,59373.45688915473,421.95145986373115,103709.88193848994,0.4269969735281658,sell,501.5893752654751
93,105.25,103.7,52453.43072308407,488.61600232291767,103129.82327702365,0.49131742720803484,buy,66.63178900769947
94,104.85,105.8,4986.53630282604,936.8151984033782,104149.00376884875,0.951665828806737,buy,447.77266022105243
95,106.4,103.45,25107.98360373898,742.1164174483009,101900.0685776555,0.7534042366862663,sell,194.84546784152622
96,102.75,101.9,87621.31110900927,128.02511805007748,100729.64654172084,0.1295126110057333,sell,614.1708319658044
97,102.55,101.4,16076.499562981204,832.8903863717762,100603.05807928713,0.8394882500643022,buy,704.2735422110643
98,101.8,101.55,36653.91834592588,630.0541795796106,100656.51829903507,0.6356468812703092,sell,202.96513899442164
99,101.9,101.1,95270.72034792951,49.6834824531702,100352.3959014245,0.05005361387634,sell,580.3997467772195
100,101.4,100.7,74581.4568496835,254.9326870543884,100273.84703096375,0.25601612331129264,buy,205.19665749554343
101,101.5,101.1,55980.270250656715,438.73688087270443,100355.15151088216,0.4419932408892888,buy,183.72295360700122
102,100.95,100.8,39272.308796705984,604.3248787275354,100204.94784262532,0.6079135720065019,buy,165.48733466357362
103,99.0,101.05,58213.360343668086,416.69487814841,100339.33779212344,0.4196461563672209,sell,187.7087387876876
104,99.1,102.2,6710.846078405695,920.1299388339319,100799.5768904356,0.9329134372363681,buy,502.96539935263263
105,101.8,99.65,79798.77124364377,185.94944458917962,98401.794483207,0.18830817314489123,sell,734.3187464323821
106,100.6,99.4,79423.68624289056,189.71916582119923,98282.14603580823,0.19187701778262378,buy,3.7689979091517216
107,99.0,100.0,36788.67750089226,615.6433290779255,98395.60282501049,0.6256817493895566,buy,425.6576702811526
108,101.35,102.3,9919.17110855535,878.0349588785932,99768.99006556404,0.900309567474344,buy,262.15539610593305
109,103.0,101.8,12918.812346916788,848.5394394066514,99303.12992239614,0.8698750482396957,sell,29.521176888365176
110,102.7,104.45,70422.75300720485,297.4479873965938,101548.75679294152,0.30594606241140854,sell,551.2600562698285
111,105.0,104.85,94170.06579240353,70.73283366204214,101610.17448573772,0.07298813969172047,sell,226.73170125186272
112,102.0,104.0,54774.918117945366,449.15390945603826,101526.28049325591,0.4600976846239425,buy,378.24696513321055
113,104.4,104.8,21920.691708623104,762.3352549170874,101846.24782893818,0.7844445565584239,buy,312.93567205938643
114,104.7,106.05,22608.876616021604,755.8395096914421,102766.3454925802,0.7799905661583033,sell,6.500811845641238
115,106.0,108.1,54911.086204824154,456.72254268926366,104315.1276136665,0.4732938356511307,sell,299.2585372187993
116,108.45,106.75,102920.2232976596,6.538052880152918,103666.21763690305,0.006732541814160609,sell,450.1875206950125
117,107.5,106.85,64461.3913536457,366.11139431657244,103618.81424790394,0.3775279882004352,buy,359.43759243621656
